state,county,CENSUS2010POP,POPESTIMATE2019
Alabama,Alabama,4779736,4903185
Alabama,Autauga,54571,55869
Alabama,Baldwin,182265,223234
Alabama,Barbour,27457,24686
Alabama,Bibb,22915,22394
Alabama,Blount,57322,57826
Alabama,Bullock,10914,10101
Alabama,Butler,20947,19448
Alabama,Calhoun,118572,113605
Alabama,Chambers,34215,33254
Alabama,Cherokee,25989,26196
Alabama,Chilton,43643,44428
Alabama,Choctaw,13859,12589
Alabama,Clarke,25833,23622
Alabama,Clay,13932,13235
Alabama,Cleburne,14972,14910
Alabama,Coffee,49948,52342
Alabama,Colbert,54428,55241
Alabama,Conecuh,13228,12067
Alabama,Coosa,11539,10663
Alabama,Covington,37765,37049
Alabama,Crenshaw,13906,13772
Alabama,Cullman,80406,83768
Alabama,Dale,50251,49172
Alabama,Dallas,43820,37196
Alabama,DeKalb,71109,71513
Alabama,Elmore,79303,81209
Alabama,Escambia,38319,36633
Alabama,Etowah,104430,102268
Alabama,Fayette,17241,16302
Alabama,Franklin,31704,31362
Alabama,Geneva,26790,26271
Alabama,Greene,9045,8111
Alabama,Hale,15760,14651
Alabama,Henry,17302,17205
Alabama,Houston,101547,105882
Alabama,Jackson,53227,51626
Alabama,Jefferson,658466,658573
Alabama,Lamar,14564,13805
Alabama,Lauderdale,92709,92729
Alabama,Lawrence,34339,32924
Alabama,Lee,140247,164542
Alabama,Limestone,82782,98915
Alabama,Lowndes,11299,9726
Alabama,Macon,21452,18068
Alabama,Madison,334811,372909
Alabama,Marengo,21027,18863
Alabama,Marion,30776,29709
Alabama,Marshall,93019,96774
Alabama,Mobile,412992,413210
Alabama,Monroe,23068,20733
Alabama,Montgomery,229363,226486
Alabama,Morgan,119490,119679
Alabama,Perry,10591,8923
Alabama,Pickens,19746,19930
Alabama,Pike,32899,33114
Alabama,Randolph,22913,22722
Alabama,Russell,52947,57961
Alabama,St. Clair,83593,89512
Alabama,Shelby,195085,217702
Alabama,Sumter,13763,12427
Alabama,Talladega,82291,79978
Alabama,Tallapoosa,41616,40367
Alabama,Tuscaloosa,194656,209355
Alabama,Walker,67023,63521
Alabama,Washington,17581,16326
Alabama,Wilcox,11670,10373
Alabama,Winston,24484,23629
Alaska,Alaska,710231,731545
Alaska,Aleutians East Borough,3141,3337
Alaska,Aleutians West Census Area,5561,5634
Alaska,Anchorage Municipality,291826,288000
Alaska,Bethel Census Area,17013,18386
Alaska,Bristol Bay Borough,997,836
Alaska,Denali Borough,1826,2097
Alaska,Dillingham Census Area,4847,4916
Alaska,Fairbanks North Star Borough,97581,96849
Alaska,Haines Borough,2508,2530
Alaska,Hoonah-Angoon Census Area,2150,2148
Alaska,Juneau City and Borough,31275,31974
Alaska,Kenai Peninsula Borough,55400,58708
Alaska,Ketchikan Gateway Borough,13477,13901
Alaska,Kodiak Island Borough,13592,12998
Alaska,Kusilvak Census Area,7459,8314
Alaska,Lake and Peninsula Borough,1631,1592
Alaska,Matanuska-Susitna Borough,88995,108317
Alaska,Nome Census Area,9492,10004
Alaska,North Slope Borough,9430,9832
Alaska,Northwest Arctic Borough,7523,7621
Alaska,Petersburg Borough,3815,3266
Alaska,Prince of Wales-Hyder Census Area,5559,6203
Alaska,Sitka City and Borough,8881,8493
Alaska,Skagway Municipality,968,1183
Alaska,Southeast Fairbanks Census Area,7029,6893
Alaska,Valdez-Cordova Census Area,9636,9202
Alaska,Wrangell City and Borough,2369,2502
Alaska,Yakutat City and Borough,662,579
Alaska,Yukon-Koyukuk Census Area,5588,5230
Arizona,Arizona,6392017,7278717
Arizona,Apache,71518,71887
Arizona,Cochise,131346,125922
Arizona,Coconino,134421,143476
Arizona,Gila,53597,54018
Arizona,Graham,37220,38837
Arizona,Greenlee,8437,9498
Arizona,La Paz,20489,21108
Arizona,Maricopa,3817117,4485414
Arizona,Mohave,200186,212181
Arizona,Navajo,107449,110924
Arizona,Pima,980263,1047279
Arizona,Pinal,375770,462789
Arizona,Santa Cruz,47420,46498
Arizona,Yavapai,211033,235099
Arizona,Yuma,195751,213787
Arkansas,Arkansas,2915918,3017804
Arkansas,Arkansas,19019,17486
Arkansas,Ashley,21853,19657
Arkansas,Baxter,41513,41932
Arkansas,Benton,221339,279141
Arkansas,Boone,36903,37432
Arkansas,Bradley,11508,10763
Arkansas,Calhoun,5368,5189
Arkansas,Carroll,27446,28380
Arkansas,Chicot,11800,10118
Arkansas,Clark,22995,22320
Arkansas,Clay,16083,14551
Arkansas,Cleburne,25970,24919
Arkansas,Cleveland,8689,7956
Arkansas,Columbia,24552,23457
Arkansas,Conway,21273,20846
Arkansas,Craighead,96443,110332
Arkansas,Crawford,61948,63257
Arkansas,Crittenden,50902,47955
Arkansas,Cross,17870,16419
Arkansas,Dallas,8116,7009
Arkansas,Desha,13008,11361
Arkansas,Drew,18509,18219
Arkansas,Faulkner,113237,126007
Arkansas,Franklin,18125,17715
Arkansas,Fulton,12245,12477
Arkansas,Garland,96024,99386
Arkansas,Grant,17853,18265
Arkansas,Greene,42090,45325
Arkansas,Hempstead,22609,21532
Arkansas,Hot Spring,32923,33771
Arkansas,Howard,13789,13202
Arkansas,Independence,36647,37825
Arkansas,Izard,13696,13629
Arkansas,Jackson,17997,16719
Arkansas,Jefferson,77435,66824
Arkansas,Johnson,25540,26578
Arkansas,Lafayette,7645,6624
Arkansas,Lawrence,17415,16406
Arkansas,Lee,10424,8857
Arkansas,Lincoln,14134,13024
Arkansas,Little River,13171,12259
Arkansas,Logan,22353,21466
Arkansas,Lonoke,68356,73309
Arkansas,Madison,15717,16576
Arkansas,Marion,16653,16694
Arkansas,Miller,43462,43257
Arkansas,Mississippi,46480,40651
Arkansas,Monroe,8149,6701
Arkansas,Montgomery,9487,8986
Arkansas,Nevada,8997,8252
Arkansas,Newton,8330,7753
Arkansas,Ouachita,26120,23382
Arkansas,Perry,10445,10455
Arkansas,Phillips,21757,17782
Arkansas,Pike,11291,10718
Arkansas,Poinsett,24583,23528
Arkansas,Polk,20662,19964
Arkansas,Pope,61754,64072
Arkansas,Prairie,8715,8062
Arkansas,Pulaski,382748,391911
Arkansas,Randolph,17969,17958
Arkansas,St. Francis,28258,24994
Arkansas,Saline,107118,122437
Arkansas,Scott,11233,10281
Arkansas,Searcy,8195,7881
Arkansas,Sebastian,125744,127827
Arkansas,Sevier,17058,17007
Arkansas,Sharp,17264,17442
Arkansas,Stone,12394,12506
Arkansas,Union,41639,38682
Arkansas,Van Buren,17295,16545
Arkansas,Washington,203065,239187
Arkansas,White,77076,78753
Arkansas,Woodruff,7260,6320
Arkansas,Yell,22185,21341
California,California,37253956,39512223
California,Alameda,1510271,1671329
California,Alpine,1175,1129
California,Amador,38091,39752
California,Butte,220000,219186
California,Calaveras,45578,45905
California,Colusa,21419,21547
California,Contra Costa,1049025,1153526
California,Del Norte,28610,27812
California,El Dorado,181058,192843
California,Fresno,930450,999101
California,Glenn,28122,28393
California,Humboldt,134623,135558
California,Imperial,174528,181215
California,Inyo,18546,18039
California,Kern,839631,900202
California,Kings,152982,152940
California,Lake,64665,64386
California,Lassen,34895,30573
California,Los Angeles,9818605,10039107
California,Madera,150865,157327
California,Marin,252409,258826
California,Mariposa,18251,17203
California,Mendocino,87841,86749
California,Merced,255793,277680
California,Modoc,9686,8841
California,Mono,14202,14444
California,Monterey,415057,434061
California,Napa,136484,137744
California,Nevada,98764,99755
California,Orange,3010232,3175692
California,Placer,348432,398329
California,Plumas,20007,18807
California,Riverside,2189641,2470546
California,Sacramento,1418788,1552058
California,San Benito,55269,62808
California,San Bernardino,2035210,2180085
California,San Diego,3095313,3338330
California,San Francisco,805235,881549
California,San Joaquin,685306,762148
California,San Luis Obispo,269637,283111
California,San Mateo,718451,766573
California,Santa Barbara,423895,446499
California,Santa Clara,1781642,1927852
California,Santa Cruz,262382,273213
California,Shasta,177223,180080
California,Sierra,3240,3005
California,Siskiyou,44900,43539
California,Solano,413344,447643
California,Sonoma,483878,494336
California,Stanislaus,514453,550660
California,Sutter,94737,96971
California,Tehama,63463,65084
California,Trinity,13786,12285
California,Tulare,442179,466195
California,Tuolumne,55365,54478
California,Ventura,823318,846006
California,Yolo,200849,220500
California,Yuba,72155,78668
Colorado,Colorado,5029196,5758736
Colorado,Adams,441603,517421
Colorado,Alamosa,15445,16233
Colorado,Arapahoe,572003,656590
Colorado,Archuleta,12084,14029
Colorado,Baca,3788,3581
Colorado,Bent,6499,5577
Colorado,Boulder,294567,326196
Colorado,Broomfield,55889,70465
Colorado,Chaffee,17809,20356
Colorado,Cheyenne,1836,1831
Colorado,Clear Creek,9088,9700
Colorado,Conejos,8256,8205
Colorado,Costilla,3524,3887
Colorado,Crowley,5823,6061
Colorado,Custer,4255,5068
Colorado,Delta,30952,31162
Colorado,Denver,600158,727211
Colorado,Dolores,2064,2055
Colorado,Douglas,285465,351154
Colorado,Eagle,52197,55127
Colorado,Elbert,23086,26729
Colorado,El Paso,622263,720403
Colorado,Fremont,46824,47839
Colorado,Garfield,56389,60061
Colorado,Gilpin,5441,6243
Colorado,Grand,14843,15734
Colorado,Gunnison,15324,17462
Colorado,Hinsdale,843,820
Colorado,Huerfano,6711,6897
Colorado,Jackson,1394,1392
Colorado,Jefferson,534543,582881
Colorado,Kiowa,1398,1406
Colorado,Kit Carson,8270,7097
Colorado,Lake,7310,8127
Colorado,La Plata,51334,56221
Colorado,Larimer,299630,356899
Colorado,Las Animas,15507,14506
Colorado,Lincoln,5467,5701
Colorado,Logan,22709,22409
Colorado,Mesa,146723,154210
Colorado,Mineral,712,769
Colorado,Moffat,13795,13283
Colorado,Montezuma,25535,26183
Colorado,Montrose,41276,42758
Colorado,Morgan,28159,29068
Colorado,Otero,18831,18278
Colorado,Ouray,4436,4952
Colorado,Park,16206,18845
Colorado,Phillips,4442,4265
Colorado,Pitkin,17148,17767
Colorado,Prowers,12551,12172
Colorado,Pueblo,159063,168424
Colorado,Rio Blanco,6666,6324
Colorado,Rio Grande,11982,11267
Colorado,Routt,23509,25638
Colorado,Saguache,6108,6824
Colorado,San Juan,699,728
Colorado,San Miguel,7359,8179
Colorado,Sedgwick,2379,2248
Colorado,Summit,27994,31011
Colorado,Teller,23350,25388
Colorado,Washington,4814,4908
Colorado,Weld,252825,324492
Colorado,Yuma,10043,10019
Connecticut,Connecticut,3574097,3565287
Connecticut,Fairfield,916829,943332
Connecticut,Hartford,894014,891720
Connecticut,Litchfield,189927,180333
Connecticut,Middlesex,165676,162436
Connecticut,New Haven,862477,854757
Connecticut,New London,274055,265206
Connecticut,Tolland,152691,150721
Connecticut,Windham,118428,116782
Delaware,Delaware,897934,973764
Delaware,Kent,162310,180786
Delaware,New Castle,538479,558753
Delaware,Sussex,197145,234225
District of Columbia,District of Columbia,601723,705749
District of Columbia,District of Columbia,601723,705749
Florida,Florida,18801310,21477737
Florida,Alachua,247336,269043
Florida,Baker,27115,29210
Florida,Bay,168852,174705
Florida,Bradford,28520,28201
Florida,Brevard,543376,601942
Florida,Broward,1748066,1952778
Florida,Calhoun,14625,14105
Florida,Charlotte,159978,188910
Florida,Citrus,141236,149657
Florida,Clay,190865,219252
Florida,Collier,321520,384902
Florida,Columbia,67531,71686
Florida,DeSoto,34862,38001
Florida,Dixie,16422,16826
Florida,Duval,864263,957755
Florida,Escambia,297619,318316
Florida,Flagler,95696,115081
Florida,Franklin,11549,12125
Florida,Gadsden,46389,45660
Florida,Gilchrist,16939,18582
Florida,Glades,12884,13811
Florida,Gulf,15863,13639
Florida,Hamilton,14799,14428
Florida,Hardee,27731,26937
Florida,Hendry,39140,42022
Florida,Hernando,172778,193920
Florida,Highlands,98786,106221
Florida,Hillsborough,1229226,1471968
