"ObservationDate","Province.State","Country.Region","Confirmed","Deaths","Recovered"
2020-01-22,"","Japan",2,0,0
2020-01-22,"","Korea, South",1,0,0
2020-01-22,"","Thailand",2,0,0
2020-01-22,"Anhui","China",1,0,0
2020-01-22,"Beijing","China",14,0,0
2020-01-22,"Chongqing","China",6,0,0
2020-01-22,"Fujian","China",1,0,0
2020-01-22,"Gansu","China",0,0,0
2020-01-22,"Guangdong","China",26,0,0
2020-01-22,"Guangxi","China",2,0,0
2020-01-22,"Guizhou","China",1,0,0
2020-01-22,"Hainan","China",4,0,0
2020-01-22,"Hebei","China",1,0,0
2020-01-22,"Heilongjiang","China",0,0,0
2020-01-22,"Henan","China",5,0,0
2020-01-22,"Hong Kong","Hong Kong",0,0,0
2020-01-22,"Hubei","China",444,17,28
2020-01-22,"Hunan","China",4,0,0
2020-01-22,"Inner Mongolia","China",0,0,0
2020-01-22,"Jiangsu","China",1,0,0
2020-01-22,"Jiangxi","China",2,0,0
2020-01-22,"Jilin","China",0,0,0
2020-01-22,"Liaoning","China",2,0,0
2020-01-22,"Macau","Macau",1,0,0
2020-01-22,"Ningxia","China",1,0,0
2020-01-22,"Qinghai","China",0,0,0
2020-01-22,"Shaanxi","China",0,0,0
2020-01-22,"Shandong","China",2,0,0
2020-01-22,"Shanghai","China",9,0,0
2020-01-22,"Shanxi","China",1,0,0
2020-01-22,"Sichuan","China",5,0,0
2020-01-22,"Taiwan","Taiwan",1,0,0
2020-01-22,"Tianjin","China",4,0,0
2020-01-22,"Tibet","China",0,0,0
2020-01-22,"Washington","US",1,0,0
2020-01-22,"Xinjiang","China",0,0,0
2020-01-22,"Yunnan","China",1,0,0
2020-01-22,"Zhejiang","China",10,0,0
2020-01-23,"","Australia",0,0,0
2020-01-23,"","Brazil",0,0,0
2020-01-23,"","Colombia",0,0,0
2020-01-23,"","Japan",1,0,0
2020-01-23,"","Korea, South",1,0,0
2020-01-23,"","Malaysia",0,0,0
2020-01-23,"","Mexico",0,0,0
2020-01-23,"","Philippines",0,0,0
2020-01-23,"","Singapore",1,0,0
2020-01-23,"","Thailand",3,0,0
2020-01-23,"","Vietnam",2,0,0
2020-01-23,"Anhui","China",9,0,0
2020-01-23,"Beijing","China",22,0,0
2020-01-23,"Chongqing","China",9,0,0
2020-01-23,"Fujian","China",5,0,0
2020-01-23,"Gansu","China",2,0,0
2020-01-23,"Guangdong","China",32,0,2
2020-01-23,"Guangxi","China",5,0,0
2020-01-23,"Guizhou","China",3,0,0
2020-01-23,"Hainan","China",5,0,0
2020-01-23,"Hebei","China",1,1,0
2020-01-23,"Heilongjiang","China",2,0,0
2020-01-23,"Henan","China",5,0,0
2020-01-23,"Hong Kong","Hong Kong",2,0,0
2020-01-23,"Hubei","China",444,17,28
2020-01-23,"Hunan","China",9,0,0
2020-01-23,"Inner Mongolia","China",0,0,0
2020-01-23,"Jiangsu","China",5,0,0
2020-01-23,"Jiangxi","China",7,0,0
2020-01-23,"Jilin","China",1,0,0
2020-01-23,"Liaoning","China",3,0,0
2020-01-23,"Macau","Macau",2,0,0
2020-01-23,"Ningxia","China",1,0,0
2020-01-23,"Qinghai","China",0,0,0
2020-01-23,"Shaanxi","China",3,0,0
2020-01-23,"Shandong","China",6,0,0
2020-01-23,"Shanghai","China",16,0,0
2020-01-23,"Shanxi","China",1,0,0
2020-01-23,"Sichuan","China",8,0,0
2020-01-23,"Taiwan","Taiwan",1,0,0
2020-01-23,"Tianjin","China",4,0,0
2020-01-23,"Tibet","China",0,0,0
2020-01-23,"Washington","US",1,0,0
2020-01-23,"Xinjiang","China",2,0,0
2020-01-23,"Yunnan","China",2,0,0
2020-01-23,"Zhejiang","China",27,0,0
2020-01-24,"","France",2,0,0
2020-01-24,"","Japan",2,0,0
2020-01-24,"","Korea, South",2,0,0
2020-01-24,"","Singapore",3,0,0
2020-01-24,"","Thailand",5,0,0
2020-01-24,"","Vietnam",2,0,0
2020-01-24,"Anhui","China",15,0,0
2020-01-24,"Beijing","China",36,0,1
2020-01-24,"Chicago","US",1,0,0
2020-01-24,"Chongqing","China",27,0,0
2020-01-24,"Fujian","China",10,0,0
2020-01-24,"Gansu","China",2,0,0
2020-01-24,"Guangdong","China",53,0,2
2020-01-24,"Guangxi","China",23,0,0
2020-01-24,"Guizhou","China",3,0,0
2020-01-24,"Hainan","China",8,0,0
2020-01-24,"Hebei","China",2,1,0
2020-01-24,"Heilongjiang","China",4,1,0
2020-01-24,"Henan","China",9,0,0
2020-01-24,"Hong Kong","Hong Kong",2,0,0
2020-01-24,"Hubei","China",549,24,31
2020-01-24,"Hunan","China",24,0,0
2020-01-24,"Inner Mongolia","China",1,0,0
2020-01-24,"Jiangsu","China",9,0,0
2020-01-24,"Jiangxi","China",18,0,0
2020-01-24,"Jilin","China",3,0,0
2020-01-24,"Liaoning","China",4,0,0
2020-01-24,"Macau","Macau",2,0,0
2020-01-24,"Ningxia","China",2,0,0
2020-01-24,"Qinghai","China",0,0,0
2020-01-24,"Shaanxi","China",5,0,0
2020-01-24,"Shandong","China",15,0,0
2020-01-24,"Shanghai","China",20,0,1
2020-01-24,"Shanxi","China",1,0,0
2020-01-24,"Sichuan","China",15,0,0
2020-01-24,"Taiwan","Taiwan",3,0,0
2020-01-24,"Tianjin","China",8,0,0
2020-01-24,"Washington","US",1,0,0
2020-01-24,"Xinjiang","China",2,0,0
2020-01-24,"Yunnan","China",5,0,0
2020-01-24,"Zhejiang","China",43,0,1
2020-01-25,"","Australia",4,0,0
2020-01-25,"","France",3,0,0
2020-01-25,"","Japan",2,0,0
2020-01-25,"","Korea, South",2,0,0
2020-01-25,"","Malaysia",3,0,0
2020-01-25,"","Nepal",1,0,0
2020-01-25,"","Singapore",3,0,0
