"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahamas"
"13","Bahrain"
"14","Bangladesh"
"15","Barbados"
"16","Belarus"
"17","Belgium"
"18","Belize"
"19","Benin"
"20","Bhutan"
"21","Bolivia"
"22","Bosnia and Herzegovina"
"23","Brazil"
"24","Brunei"
"25","Bulgaria"
"26","Burkina Faso"
"27","Cabo Verde"
"28","Cambodia"
"29","Cameroon"
"30","Canada"
"31","Central African Republic"
"32","Chad"
"33","Chile"
"34","China"
"35","Colombia"
"36","Congo (Brazzaville)"
"37","Congo (Kinshasa)"
"38","Costa Rica"
"39","Cote d'Ivoire"
"40","Croatia"
"41","Cuba"
"42","Cyprus"
"43","Czechia"
"44","Denmark"
"45","Diamond Princess"
"46","Djibouti"
"47","Dominica"
"48","Dominican Republic"
"49","Ecuador"
"50","Egypt"
"51","El Salvador"
"52","Equatorial Guinea"
"53","Eritrea"
"54","Estonia"
"55","Eswatini"
"56","Ethiopia"
"57","Fiji"
"58","Finland"
"59","France"
"60","Gabon"
"61","Gambia"
"62","Georgia"
"63","Germany"
"64","Ghana"
"65","Greece"
"66","Grenada"
"67","Guatemala"
"68","Guinea"
"69","Guinea-Bissau"
"70","Guyana"
"71","Haiti"
"72","Holy See"
"73","Honduras"
"74","Hungary"
"75","Iceland"
"76","India"
"77","Indonesia"
"78","Iran"
"79","Iraq"
"80","Ireland"
"81","Israel"
"82","Italy"
"83","Jamaica"
"84","Japan"
"85","Jordan"
"86","Kazakhstan"
"87","Kenya"
"88","Korea, South"
"89","Kuwait"
"90","Kyrgyzstan"
"91","Laos"
"92","Latvia"
"93","Lebanon"
"94","Liberia"
"95","Libya"
"96","Liechtenstein"
"97","Lithuania"
"98","Luxembourg"
"99","Madagascar"
"100","Malaysia"
"101","Maldives"
"102","Mali"
"103","Malta"
"104","Mauritania"
"105","Mauritius"
"106","Mexico"
"107","Moldova"
"108","Monaco"
"109","Mongolia"
"110","Montenegro"
"111","Morocco"
"112","Mozambique"
"113","Namibia"
"114","Nepal"
"115","Netherlands"
"116","New Zealand"
"117","Nicaragua"
"118","Niger"
"119","Nigeria"
"120","North Macedonia"
"121","Norway"
"122","Oman"
"123","Pakistan"
"124","Panama"
"125","Papua New Guinea"
"126","Paraguay"
"127","Peru"
"128","Philippines"
"129","Poland"
"130","Portugal"
"131","Qatar"
"132","Romania"
"133","Russia"
"134","Rwanda"
"135","Saint Kitts and Nevis"
"136","Saint Lucia"
"137","Saint Vincent and the Grenadines"
"138","San Marino"
"139","Saudi Arabia"
"140","Senegal"
"141","Serbia"
"142","Seychelles"
"143","Singapore"
"144","Slovakia"
"145","Slovenia"
"146","Somalia"
"147","South Africa"
"148","Spain"
"149","Sri Lanka"
"150","Sudan"
"151","Suriname"
"152","Sweden"
"153","Switzerland"
"154","Syria"
"155","Taiwan*"
"156","Tanzania"
"157","Thailand"
"158","Timor-Leste"
"159","Togo"
"160","Trinidad and Tobago"
"161","Tunisia"
"162","Turkey"
"163","Uganda"
"164","Ukraine"
"165","United Arab Emirates"
"166","United Kingdom"
"167","Uruguay"
"168","US"
"169","Uzbekistan"
"170","Venezuela"
"171","Vietnam"
"172","West Bank and Gaza"
"173","Zambia"
"174","Zimbabwe"
