"","x"
"1",""
"2","Australian Capital Territory"
"3","New South Wales"
"4","Northern Territory"
"5","Queensland"
"6","South Australia"
"7","Tasmania"
"8","Victoria"
"9","Western Australia"
"10","Alberta"
"11","British Columbia"
"12","Diamond Princess"
"13","Grand Princess"
"14","Manitoba"
"15","New Brunswick"
"16","Newfoundland and Labrador"
"17","Nova Scotia"
"18","Ontario"
"19","Prince Edward Island"
"20","Quebec"
"21","Recovered"
"22","Saskatchewan"
"23","Anhui"
"24","Beijing"
"25","Chongqing"
"26","Fujian"
"27","Gansu"
"28","Guangdong"
"29","Guangxi"
"30","Guizhou"
"31","Hainan"
"32","Hebei"
"33","Heilongjiang"
"34","Henan"
"35","Hong Kong"
"36","Hubei"
"37","Hunan"
"38","Inner Mongolia"
"39","Jiangsu"
"40","Jiangxi"
"41","Jilin"
"42","Liaoning"
"43","Macau"
"44","Ningxia"
"45","Qinghai"
"46","Shaanxi"
"47","Shandong"
"48","Shanghai"
"49","Shanxi"
"50","Sichuan"
"51","Tianjin"
"52","Tibet"
"53","Xinjiang"
"54","Yunnan"
"55","Zhejiang"
"56","Faroe Islands"
"57","Greenland"
"58","French Guiana"
"59","French Polynesia"
"60","Guadeloupe"
"61","Martinique"
"62","Mayotte"
"63","New Caledonia"
"64","Reunion"
"65","Saint Barthelemy"
"66","St Martin"
"67","Aruba"
"68","Curacao"
"69","Sint Maarten"
"70","Bermuda"
"71","Cayman Islands"
"72","Channel Islands"
"73","Gibraltar"
"74","Isle of Man"
"75","Montserrat"
